iter	Accuracy	Logloss
0	0.8047138047	0.6771829063
1	0.8080808081	0.6623941284
2	0.8198653199	0.64740543
3	0.8097643098	0.6346650578
4	0.8131313131	0.6220080222
5	0.8097643098	0.6101166538
6	0.8114478114	0.6027394651
7	0.8080808081	0.5916356508
8	0.8063973064	0.5812428559
9	0.8080808081	0.5714158445
10	0.8097643098	0.5640926885
11	0.8097643098	0.5569835404
12	0.8097643098	0.550421883
13	0.8097643098	0.5445604867
14	0.8097643098	0.5366573078
15	0.8114478114	0.5308692186
16	0.8097643098	0.5257398363
17	0.8097643098	0.5203388519
18	0.8114478114	0.514404274
19	0.8164983165	0.508751432
20	0.8164983165	0.5030327376
21	0.8164983165	0.4994514258
22	0.8164983165	0.4949621466
23	0.8164983165	0.4904590649
24	0.8164983165	0.4875497079
25	0.8181818182	0.4830424637
26	0.8215488215	0.4795837185
27	0.8215488215	0.4767114865
28	0.8198653199	0.4745352832
29	0.8198653199	0.4700017214
30	0.8198653199	0.4667377491
31	0.8215488215	0.4624202812
32	0.8215488215	0.4604658347
33	0.8232323232	0.4595757644
34	0.8232323232	0.4591457276
35	0.8232323232	0.4553366355
36	0.8249158249	0.4517874148
37	0.8265993266	0.4487159253
38	0.8282828283	0.4465602896
39	0.8265993266	0.4461841468
40	0.8232323232	0.4436399604
41	0.8232323232	0.4409054296
42	0.8265993266	0.4391360116
43	0.8282828283	0.4372770994
44	0.82996633	0.4354890346
45	0.82996633	0.4336726935
46	0.82996633	0.4310892031
47	0.8316498316	0.4297628144
48	0.8282828283	0.4275324179
49	0.82996633	0.4260522343
50	0.82996633	0.4254744025
51	0.82996633	0.423987983
52	0.8282828283	0.4227053748
53	0.82996633	0.4209251924
54	0.82996633	0.4197742895
55	0.8333333333	0.4184711628
56	0.8316498316	0.4174502025
57	0.8316498316	0.4164520317
58	0.8316498316	0.4157916735
59	0.82996633	0.4134012979
60	0.8333333333	0.4131461666
61	0.835016835	0.4115127391
62	0.8367003367	0.410261385
63	0.8316498316	0.4094242998
64	0.8333333333	0.4087956739
65	0.82996633	0.4081826021
66	0.82996633	0.4072470306
67	0.82996633	0.4057971875
68	0.8316498316	0.4043912347
69	0.8316498316	0.4038293296
70	0.8316498316	0.4025900413
71	0.8316498316	0.4009158298
72	0.8333333333	0.3996384063
73	0.8333333333	0.3987597068
74	0.8333333333	0.3975854109
75	0.835016835	0.396793823
76	0.8400673401	0.395296395
77	0.835016835	0.3946102759
78	0.8367003367	0.3940754874
79	0.8367003367	0.39313734
80	0.8367003367	0.3926041548
81	0.8367003367	0.3918874559
82	0.8367003367	0.3914013288
83	0.8367003367	0.3911449881
84	0.8367003367	0.3901525026
85	0.8383838384	0.3885265545
86	0.8383838384	0.3878766501
87	0.8383838384	0.3873512665
88	0.8383838384	0.3868425919
89	0.8383838384	0.3857833545
90	0.8383838384	0.3847899167
91	0.8383838384	0.384231422
92	0.8383838384	0.3839847723
93	0.8383838384	0.3834416049
94	0.8383838384	0.3831574171
95	0.8400673401	0.3824358962
96	0.8400673401	0.3819507975
97	0.8400673401	0.3812691139
98	0.8417508418	0.3802122667
99	0.8434343434	0.379848625
100	0.8434343434	0.379177031
101	0.8468013468	0.3787447814
102	0.8451178451	0.3780769455
103	0.8468013468	0.377531215
104	0.8451178451	0.3765104645
105	0.8468013468	0.375710305
106	0.8468013468	0.3751229792
107	0.8484848485	0.3743279847
108	0.8518518519	0.3731660578
109	0.8535353535	0.3726414079
110	0.8535353535	0.3726388803
111	0.8535353535	0.3723802977
112	0.8535353535	0.3714709106
113	0.8535353535	0.3710627708
114	0.8535353535	0.3708281572
115	0.8552188552	0.3695797435
116	0.8535353535	0.369501553
117	0.8535353535	0.3688226307
118	0.8518518519	0.3682298872
119	0.8535353535	0.3680686383
120	0.8535353535	0.3676009282
121	0.8535353535	0.3672023519
122	0.8535353535	0.3670995052
123	0.8535353535	0.3666633126
124	0.8518518519	0.3666113519
125	0.8518518519	0.3658363886
