iter	Passed	Remaining
0	51	51322
1	76	38384
2	88	29499
3	119	29813
4	137	27366
5	162	26982
6	178	25285
7	196	24337
8	223	24568
9	261	25875
10	265	23864
11	292	24056
12	294	22370
13	308	21711
14	327	21526
15	354	21809
16	360	20870
17	379	20680
18	396	20495
19	410	20104
20	421	19671
21	441	19621
22	462	19629
23	487	19837
24	502	19612
25	515	19320
26	538	19409
27	546	18972
28	567	18989
29	588	19015
30	606	18943
31	631	19117
32	657	19263
33	689	19602
34	696	19199
35	707	18937
36	725	18891
37	740	18756
38	755	18609
39	766	18392
40	794	18574
41	819	18690
42	835	18597
43	852	18515
44	883	18747
45	897	18606
46	919	18636
47	946	18779
48	957	18590
49	985	18722
50	999	18590
51	1019	18590
52	1048	18734
53	1085	19023
54	1116	19189
55	1158	19523
56	1219	20171
57	1305	21209
58	1357	21651
59	1376	21557
60	1408	21686
61	1434	21700
62	1457	21670
63	1476	21592
64	1508	21704
65	1536	21740
66	1562	21758
67	1597	21897
68	1638	22106
69	1658	22031
70	1678	21956
71	1698	21895
72	1721	21864
73	1750	21909
74	1773	21869
75	1798	21867
76	1824	21875
77	1847	21835
78	1861	21707
79	1892	21768
80	1916	21742
81	1949	21827
82	1987	21954
83	2002	21832
84	2031	21872
85	2048	21773
86	2073	21757
87	2100	21768
88	2120	21700
89	2135	21589
90	2167	21654
91	2187	21594
92	2217	21624
93	2242	21617
94	2255	21482
95	2277	21451
96	2312	21530
97	2367	21790
98	2408	21921
99	2464	22177
100	2507	22316
101	2559	22530
102	2574	22420
103	2603	22426
104	2636	22477
105	2661	22447
106	2680	22369
107	2705	22346
108	2732	22335
109	2751	22266
110	2761	22113
111	2769	21958
112	2796	21948
113	2837	22052
114	2867	22068
115	2891	22035
116	2898	21876
117	2919	21824
118	2951	21851
119	2998	21989
120	3033	22039
121	3098	22296
122	3114	22207
123	3153	22275
124	3161	22132
125	3205	22232
